publisher	publisher_synonyms	journal_title	permission_name	permission_type	attribution_text	can_display_images	start_year	end_year	link_notes	skip	skip_reason
Cold Spring Harbor Laboratory Press	Cold Spring Harbor Press (Cold Spring Harbor, NY)|Cold Spring Harbor Laboratory.|Cold Spring Harbor Laboratory,|Cold Spring Harbor Laboratory Press,|Cold Spring Harbor Laboratory Press (Plainview, NY)|Cold Spring Harbor Laboratory Press (Cold Spring Harbor, NY)|Cold Spring Harbor Laboratory Press|Cold Spring Harbor Laboratory	Genome Research	Cold Spring Harbor Laboratory Press: full permission	discuss with Connie	Reproduced with permission, from <Article_URL>, <Publication_year>, <Journal_URL>. © <Publisher_name>	yes				yes	red in working-group sheet: permission type statement not yet agreed (discuss with Connie)
Cold Spring Harbor Laboratory Press	Cold Spring Harbor Press (Cold Spring Harbor, NY)|Cold Spring Harbor Laboratory.|Cold Spring Harbor Laboratory,|Cold Spring Harbor Laboratory Press,|Cold Spring Harbor Laboratory Press (Plainview, NY)|Cold Spring Harbor Laboratory Press (Cold Spring Harbor, NY)|Cold Spring Harbor Laboratory Press|Cold Spring Harbor Laboratory	RNA	Cold Spring Harbor Laboratory Press: full permission	discuss with Connie	Reproduced with permission, from <Article_URL>, <Publication_year>, <Journal_URL>. © <Publisher_name>	yes				yes	red in working-group sheet: permission type statement not yet agreed (discuss with Connie)
Cold Spring Harbor Laboratory Press	Cold Spring Harbor Press (Cold Spring Harbor, NY)|Cold Spring Harbor Laboratory.|Cold Spring Harbor Laboratory,|Cold Spring Harbor Laboratory Press,|Cold Spring Harbor Laboratory Press (Plainview, NY)|Cold Spring Harbor Laboratory Press (Cold Spring Harbor, NY)|Cold Spring Harbor Laboratory Press|Cold Spring Harbor Laboratory	Genes & Development	Cold Spring Harbor Laboratory Press: full permission	discuss with Connie	Reproduced with permission, from <Article_URL>, <Publication_year>, <Journal_URL>. © <Publisher_name>	yes				yes	red in working-group sheet: permission type statement not yet agreed (discuss with Connie)
Institute Of Systematics And Evolution Of Animals (Folia Biologica)	Institute Of Systematics And Evolution Of Animals	Folia Biologica	Institute Of Systematics And Evolution Of Animals: resource open access	resource open access	Reproduced with permission, from <Article_URL>, <Publication_year>, <Journal_URL>. © <Publisher_name>	yes	2001		Coverage > year 2000 per the working-group sheet; Jon is confirming coverage and the MOD-to-Alliance transfer with the publisher.	yes	journal identity unresolved: the ABC resource also carries an old grant naming Charles Univ Prague, the publisher of Folia Biologica (Praha), a different journal; awaiting confirmation from the publisher (Jon/Jan Zivny) before loading
Oxford University Press (Genetics/G3)	Oxford University Press	Genetics	Genetics: full permission (journal grant, not OUP)	full permission only for Genetics	Reproduced with permission, from <Article_URL>, <Publication_year>, <Journal_URL>. © <Publisher_name>	yes			Permission granted by the Genetics journal itself, not by Oxford University Press; no other OUP journals are covered.		
Oxford University Press (Genetics/G3)	Oxford University Press	G3	G3: full permission (journal grant, not OUP)	full permission only for G3	Reproduced with permission, from <Article_URL>, <Publication_year>, <Journal_URL>. © <Publisher_name>	yes			Permission granted by the G3 journal itself, not by Oxford University Press; no other OUP journals are covered.		
Portland Press	Portland Press|Portland Press (London)|Portland Press Limited on behalf of the Biochemical Society,|Portland Press on behalf of the Biochemical Society|Portland Press on behalf of the Medical Research Society and the Biochemical Society|Portland Press,|Portland Press, London|Published by Portland Press on behalf of the Biochemical Society	Biochem J	Portland Press: full permission	full permission	Reproduced with permission, from <Article_URL>, <Publication_year>, <Journal_URL>. © <Publisher_name>	yes					
Portland Press	Portland Press|Portland Press (London)|Portland Press Limited on behalf of the Biochemical Society,|Portland Press on behalf of the Biochemical Society|Portland Press on behalf of the Medical Research Society and the Biochemical Society|Portland Press,|Portland Press, London|Published by Portland Press on behalf of the Biochemical Society	Clin Sci (Lond)	Portland Press: full permission	full permission	Reproduced with permission, from <Article_URL>, <Publication_year>, <Journal_URL>. © <Publisher_name>	yes					
Portland Press	Portland Press|Portland Press (London)|Portland Press Limited on behalf of the Biochemical Society,|Portland Press on behalf of the Biochemical Society|Portland Press on behalf of the Medical Research Society and the Biochemical Society|Portland Press,|Portland Press, London|Published by Portland Press on behalf of the Biochemical Society	Bioscience Reports	Portland Press: full permission	full permission	Reproduced with permission, from <Article_URL>, <Publication_year>, <Journal_URL>. © <Publisher_name>	yes					
Portland Press	Portland Press|Portland Press (London)|Portland Press Limited on behalf of the Biochemical Society,|Portland Press on behalf of the Biochemical Society|Portland Press on behalf of the Medical Research Society and the Biochemical Society|Portland Press,|Portland Press, London|Published by Portland Press on behalf of the Biochemical Society	Biochemical Society Transactions	Portland Press: full permission	full permission	Reproduced with permission, from <Article_URL>, <Publication_year>, <Journal_URL>. © <Publisher_name>	yes					
Portland Press	Portland Press|Portland Press (London)|Portland Press Limited on behalf of the Biochemical Society,|Portland Press on behalf of the Biochemical Society|Portland Press on behalf of the Medical Research Society and the Biochemical Society|Portland Press,|Portland Press, London|Published by Portland Press on behalf of the Biochemical Society	Essays in Biochemistry	Portland Press: full permission	full permission	Reproduced with permission, from <Article_URL>, <Publication_year>, <Journal_URL>. © <Publisher_name>	yes					
Portland Press	Portland Press|Portland Press (London)|Portland Press Limited on behalf of the Biochemical Society,|Portland Press on behalf of the Biochemical Society|Portland Press on behalf of the Medical Research Society and the Biochemical Society|Portland Press,|Portland Press, London|Published by Portland Press on behalf of the Biochemical Society	Emerging Topics in Life Sciences	Portland Press: full permission	full permission	Reproduced with permission, from <Article_URL>, <Publication_year>, <Journal_URL>. © <Publisher_name>	yes					
Rockefeller University Press	Rockefeller University Press|Rockefeller University Press,|Rockefeller University Press (New York)	The Journal of Cell Biology	Rockefeller University Press: full permission	full permission	Reproduced with permission, from <Article_URL>, <Publication_year>, <Journal_URL>. © <Publisher_name>	yes					
Rockefeller University Press	Rockefeller University Press|Rockefeller University Press,|Rockefeller University Press (New York)	The Journal of Experimental Medicine	Rockefeller University Press: full permission	full permission	Reproduced with permission, from <Article_URL>, <Publication_year>, <Journal_URL>. © <Publisher_name>	yes					
Rockefeller University Press	Rockefeller University Press|Rockefeller University Press,|Rockefeller University Press (New York)	J Gen Physiol	Rockefeller University Press: full permission	full permission	Reproduced with permission, from <Article_URL>, <Publication_year>, <Journal_URL>. © <Publisher_name>	yes					
