# column1 = one of pubmed_types
# column2 = Alliance category
# column3 = filter:
#    1 = use this Alliance Category if the pubmed_type is in the pubmed_type list
#    Secondary =  if there is another category that is more appropriate then use the other category
#    Last = don't use these types to map to Alliance category unless there is no other option
Adaptive Clinical Trial	Research_Article	
Autobiography	Other	
Bibliography	Other	
Biography	Other	
Case Reports	Research_Article	
Classical Article	Research_Article	
Clinical Conference	Research_Article	
Clinical Study	Research_Article	
Clinical Trial	Research_Article	
Clinical Trial Protocol	Research_Article	
Clinical Trial, Phase I	Research_Article	
Clinical Trial, Phase II	Research_Article	
Clinical Trial, Phase III	Research_Article	
Clinical Trial, Phase IV	Research_Article	
Clinical Trial, Veterinary	Research_Article
Collected Work				
Comment	Other	
Comparative Study	Research_Article	
Congress		
Consensus Development Conference		
Consensus Development Conference, NIH		
Controlled Clinical Trial		
Corrected and Republished Article	Correction	
Dataset		
Dictionary		
Directory		
Duplicate Publication	Research_Article	
Editorial	Other	
Electronic Supplementary Materials		
English Abstract		
Equivalence Trial		
Evaluation Study	Research_Article	
Expression of Concern	Other	
Festschrift	Other	
Government Publication		
Guideline		
Historical Article		
Interactive Tutorial	Other	
Interview   Other	
Introductory Journal Article		
Journal Article	Research_Article	secondary
Lecture	Other
Legal Case				
Legislation				
Letter		
Meta-Analysis	Research_Article	
Multicenter Study	Research_Article	
News	Other	
Newspaper Article		
Observational Study	Research_Article	
Observational Study, Veterinary		
Overall		
Patient Education Handout		
Periodical Index		
Personal Narrative		
Portrait	Other	
Practice Guideline		
Preprint	Preprint	
Pragmatic Clinical Trial		
Published Erratum	Correction	
Randomized Controlled Trial	Research_Article	Last
Randomized Controlled Trial, Veterinary	Research_Article	Last
Research Support, American Recovery and Reinvestment Act	Research_Article	Last
Research Support, N.I.H., Extramural	Research_Article	Last
Research Support, N.I.H., Intramural	Research_Article	Last
Research Support, Non-U.S. Gov't	Research_Article	Last
Research Support, U.S. Gov't, Non-P.H.S.	Research_Article	Last
Research Support, U.S. Gov't, P.H.S.	Research_Article	Last
Retraction Notice	Retraction
Review	Review_Article	1
Scientific Integrity Review		
Systematic Review	Review_Article	
Technical Report	Research_Article	
Twin Study	Research_Article	Secondary
Validation Study	Research_Article	
Video-Audio Media	Research_Article	
Webcast	Other	
